MATCHKEY,RBAL,TRADES,AGE
16345246,1492,4,39
13728016,0,3,71
14716776,854,9,30
14568809,408,13,28
13513749,4965,41,51
4379593,1847,15,43
10275319,4518,16,25
10197359,1879,16,64
11267572,2597,17,47
3579391,0,12,41
4508533,0,10,88
2506427,5380,15,44
3164164,10673,16,58
15216012,1597,14,66
13036260,0,12,55
13125635,0,15,31
10174386,3416,39,72
10396757,2594,32,39
5298129,506,13,45
10080303,153,19,81
11551471,3115,27,88
10074073,12144,13,75
2267305,0,18,56
16423316,1257,32,79
16590276,2954,3,22
16144771,1964,24,63
14605586,1,5,23
14614613,71,7,37
14855253,500,10,28
13843968,282,12,57
14245730,0,57,75
14686124,1634,6,30
13563474,0,10,47
11601472,4505,4,21
17160359,410,10,50
15837017,14331,14,20
14402425,482,8,30
13045710,1543,25,22
14842344,5693,11,35
13553431,5068,19,77
11581041,862,7,24
12846482,4763,14,45
13678011,0,1,82
5149450,9317,7,29
16653298,2487,5,27
13199388,14686,36,55
13055746,2510,20,60
14052341,4316,7,20
12895830,4268,13,48
12908226,4106,22,46
14733903,7704,9,55
15307377,15775,8,70
5371670,781,20,53
100223349,977,22,53
100174012,1381,31,56
3648546,9249,16,39
13846680,907,17,44
13240488,3237,16,59
14755998,3823,15,61
14176948,3836,27,45
14167535,4505,1,32
14408578,4104,17,78
2623999,1654,17,46
3726570,400,5,35
3024048,1,13,31
4281963,2203,13,49
3067476,4505,11,26
2363549,7445,16,58
3971845,20246,29,50
14671140,0,25,36
15007706,898,7,33
13114325,1109,20,39
4229525,0,21,51
5374886,1285,9,39
4075577,4505,6,32
13697131,3075,17,38
13893412,623,34,44
14981462,1884,11,68
14868776,4913,11,65
1586954,3510,15,68
100118520,4505,10,76
11407849,9094,15,85
10209643,3082,1,47
15307791,6262,34,46
10120593,5048,24,77
16612363,1703,36,44
13625862,1243,10,43
5461181,15269,22,63
16185718,1589,9,29
16066202,1598,12,29
11503476,6964,30,54
13764646,4077,3,43
5235748,19423,27,35
14191185,5999,25,55
2720470,40298,23,55
1560609,34866,25,66
16048953,2665,7,19
15344022,0,5,46
13824579,125,5,30
14094814,0,5,46
14699501,1184,15,31
5467548,1752,13,23
10017889,12856,11,42
16643498,1641,8,37
13006052,4565,11,67
13183992,14361,21,65
5378902,2388,25,23
14118824,722,16,23
13992290,5741,25,44
14440239,12341,49,41
11454466,225,6,43
13574558,0,6,56
4706300,0,17,26
16200383,8270,36,56
5243902,1749,14,58
16154484,5877,27,63
13786050,1204,36,38
11521167,6053,13,40
4110595,467,5,50
1995495,0,10,39
16414122,30,30,73
2880210,2022,9,38
100255445,4737,22,64
12818548,271,30,41
16178661,3508,20,31
13371837,4246,30,55
1780907,31113,34,29
13350214,2416,18,46
3080242,5394,11,50
13954746,8957,39,45
16343885,2244,9,53
1447849,321,22,39
11590181,18523,35,53
14841205,7405,40,25
13678152,6454,24,41
2525747,6141,28,31
13766407,5646,24,60
5309025,8096,30,57
14333243,16036,37,72
1538046,2750,17,44
3143303,10404,17,70
12831275,3110,25,57
16014081,7604,37,55
14277382,1753,28,71
13237425,36,10,60
4517687,1458,10,50
15411514,2112,24,73
1569480,8368,28,53
100320806,4984,44,69
16684689,0,4,61
16535084,984,12,42
16073437,1730,7,22
16680993,1491,5,23
14333643,1360,23,34
15859848,1037,2,24
16405614,1082,5,30
16590728,1211,9,50
13003093,2412,4,26
13838369,0,22,52
13904001,2646,3,41
13066709,2804,12,41
14053274,2658,20,21
13642199,3767,11,42
15362374,3018,17,24
13641100,514,9,22
13542519,1999,2,34
16973344,10464,22,46
16095485,994,5,51
14439099,0,3,25
10130018,0,4,47
14662948,2326,6,22
15105312,4867,20,22
13596380,5184,15,50
11422518,6111,16,46
11348690,126,4,47
10353219,176,8,44
11366378,0,10,32
10109630,0,6,26
13212061,12527,11,72
11553401,419,10,28
14247048,1415,20,45
11341394,12483,17,50
100084677,14339,27,45
4766739,803,8,56
4610887,1470,8,23
4697299,1234,12,24
4770855,1610,11,44
4094826,4130,10,49
14700596,2597,24,49
11435048,10179,24,61
14821202,10765,50,36
3941700,778,10,41
3254969,1415,11,26
4293454,4210,16,59
14814486,21521,36,29
13818498,552,18,25
13543315,1809,16,32
2007947,7031,20,61
10352326,284,15,43
11266459,2278,18,35
13697199,2591,20,24
11515918,6629,12,73
3462026,57,14,26
4770995,566,33,34
5390326,6822,8,45
100255370,1263,23,69
13302226,2159,25,29
16810783,28212,36,46
16016904,0,23,59
14067608,2919,32,44
13143187,6269,14,65
14477233,10987,20,51
14756565,10732,22,76
4627086,26430,29,39
4774612,2051,16,55
3059907,1437,8,28
4595587,5715,3,47
1700461,5143,11,41
11530756,15450,17,48
1438286,32699,13,34
5325551,1745,15,48
1955726,1942,19,47
100126262,3281,22,45
4710313,4017,22,73
4364894,11064,21,61
4643285,863,10,82
15357948,4476,30,35
2728386,36215,23,73
4724384,3715,17,41
11305343,6549,21,88
11292352,15185,14,43
14050307,9384,20,60
16041104,12703,28,48
13631548,15765,32,40
13847344,8,16,80
13512518,4255,30,45
15374483,6127,25,47
4717374,32363,13,73
11407749,16036,19,70
4575218,0,15,38
13971590,12254,19,45
5336351,966,17,82
16332482,2272,8,20
15934507,6586,47,77
5125582,8139,14,65
11570250,10371,26,51
14503847,5857,27,32
5291975,5095,24,45
10735088,610,20,40
17064945,5259,34,28
13787328,1797,6,34
13612918,6863,16,69
14578086,5223,32,34
5417896,5741,24,76
16590625,955,9,37
14402241,5059,12,32
10282698,8328,16,82
10346620,5956,20,60
1974228,13029,29,34
10058848,2745,42,43
14936711,2391,46,55
5291492,7537,27,36
10031292,616,12,71
4575374,9533,24,72
1934395,4883,17,35
10074732,22093,24,73
17089458,5522,31,71
14724411,5320,5,24
2444656,23799,39,60
5435642,8329,25,58
11554654,4186,16,44
17114292,2605,27,54
5465863,7691,25,45
3073563,4198,18,56
15906876,6045,8,52
14214543,6505,12,20
14969737,10774,19,57
11551275,4333,14,47
5267271,19372,30,50
13764957,13924,12,27
10397026,14448,42,40
13511521,16328,30,33
1947743,36094,33,53
100154618,8379,38,50
13494457,10181,16,82
13184040,8396,9,56
10031133,18849,41,62
14975760,2930,8,21
13237723,5361,26,51
14265646,7048,9,36
13076099,0,7,32
13021354,5173,15,49
14231200,3378,9,21
4659714,5038,8,47
14051504,5156,11,23
16973142,1560,24,26
10178144,0,3,47
15357135,5535,11,80
10041706,151,11,41
100123579,862,8,78
3947427,0,14,27
2079446,13483,21,58
14496435,121,24,56
14169939,5308,34,60
15014040,33118,25,49
10279077,29353,18,58
1975634,10608,8,65
16449042,3410,33,45
13053494,13305,18,36
11363179,1930,31,30
10385067,8890,20,54
1427263,5976,15,53
14703965,15373,31,67
14265209,2426,24,57
4781632,9107,22,37
16369370,7173,51,60
