MATCHKEY,DELQID,CRELIM,goodbad
16345246,1,750,0
13728016,0,3250,0
14716776,4,500,1
14568809,1,3000,0
13513749,0,500,0
4379593,0,4750,0
10275319,1,300,0
10197359,2,400,0
11267572,0,1750,0
3579391,0,5500,0
4508533,0,2000,0
2506427,4,1750,1
3164164,0,1050,0
15216012,0,3250,0
13036260,0,2000,0
13125635,7,2000,1
10174386,0,3750,0
10396757,0,447,0
5298129,0,1750,0
10080303,0,2000,0
11551471,0,2250,0
10074073,0,3250,0
2267305,0,850,0
16423316,7,1750,1
16590276,7,1500,1
16144771,0,2250,0
14605586,0,2000,0
14614613,0,1750,0
14855253,0,2750,0
13843968,1,500,0
14245730,0,1000,0
14686124,7,1000,1
13563474,0,1000,0
11601472,4,2000,1
17160359,2,1250,0
15837017,0,2250,0
14402425,0,1500,0
13045710,7,500,1
14842344,4,1750,1
13553431,0,2000,0
11581041,7,2800,1
12846482,6,1750,1
13678011,0,3250,0
5149450,0,3750,0
16653298,7,1000,1
13199388,7,2250,1
13055746,0,453,0
14052341,1,2750,0
12895830,3,917,1
12908226,1,1563,0
14733903,0,1750,0
15307377,1,3250,0
5371670,0,1000,0
100223349,7,500,1
100174012,1,2250,0
3648546,1,2750,0
13846680,7,461,1
13240488,0,400,0
14755998,0,2750,0
14176948,3,500,1
14167535,1,500,0
14408578,0,1000,0
2623999,7,500,1
3726570,0,900,0
3024048,0,4750,0
4281963,3,2275,1
3067476,0,2200,0
2363549,0,2750,0
3971845,1,2750,0
14671140,7,1200,1
15007706,1,1000,0
13114325,4,562,1
4229525,1,1400,0
5374886,0,3250,0
4075577,1,1750,0
13697131,2,500,0
13893412,7,1000,1
14981462,0,1000,0
14868776,0,1750,0
1586954,7,4600,1
100118520,0,1750,0
11407849,2,1750,0
10209643,6,2750,1
15307791,1,1750,0
10120593,7,300,1
16612363,1,2250,0
13625862,0,1500,0
5461181,0,3750,0
16185718,7,1000,1
16066202,6,500,1
11503476,1,500,0
13764646,0,3250,0
5235748,4,3250,1
14191185,0,2250,0
2720470,0,4250,0
1560609,1,3000,0
16048953,1,1000,0
15344022,0,1000,0
13824579,0,3250,0
14094814,0,3250,0
14699501,1,1000,0
5467548,0,2000,0
10017889,0,1750,0
16643498,1,1500,0
13006052,0,1175,0
13183992,0,3750,0
5378902,0,1750,0
14118824,0,1750,0
13992290,7,1000,1
14440239,0,2250,0
11454466,0,3250,0
13574558,0,1750,0
4706300,0,3000,0
16200383,4,1750,1
5243902,0,4750,0
16154484,5,0,1
13786050,5,774,1
11521167,0,2000,0
4110595,0,10000,0
1995495,0,4000,0
16414122,0,1750,0
2880210,3,2000,1
100255445,0,1250,0
12818548,0,1500,0
16178661,2,300,0
13371837,1,2250,0
1780907,1,5750,0
13350214,0,2000,0
3080242,0,6000,0
13954746,1,2250,0
16343885,2,500,0
1447849,4,1500,1
11590181,0,2000,0
14841205,0,1750,0
13678152,3,2000,1
2525747,1,2500,0
13766407,0,300,0
5309025,1,3250,0
14333243,7,300,1
1538046,0,2400,0
3143303,7,1200,1
12831275,0,2000,0
