MATCHKEY,BRNEW,BRAGE
16345246,5,20
13728016,19,19
14716776,0,46
14568809,2,33
13513749,3,68
4379593,7,74
10275319,29,77
10197359,30,76
11267572,28,118
3579391,74,103
4508533,62,112
2506427,32,108
3164164,82,102
15216012,2,145
13036260,23,148
13125635,22,141
10174386,29,126
10396757,18,164
5298129,28,193
10080303,28,181
11551471,25,177
10074073,28,162
2267305,24,222
16423316,4,253
16590276,3,3
16144771,6,6
14605586,15,15
14614613,15,17
14855253,13,13
13843968,13,19
14245730,16,17
14686124,12,23
13563474,20,20
11601472,24,24
17160359,0,27
15837017,1,46
14402425,16,32
13045710,11,46
14842344,13,37
13553431,16,31
11581041,25,25
12846482,22,42
13678011,40,40
5149450,35,45
16653298,3,70
13199388,8,73
13055746,11,67
14052341,11,51
12895830,13,51
12908226,19,64
14733903,14,53
15307377,11,67
5371670,24,64
100223349,1,96
100174012,1,91
3648546,2,78
13846680,9,84
13240488,13,80
14755998,13,83
14176948,13,82
14167535,11,91
14408578,11,97
2623999,24,92
3726570,43,84
3024048,84,92
4281963,46,89
3067476,45,96
2363549,91,92
3971845,67,98
14671140,8,124
15007706,12,123
13114325,21,107
4229525,63,108
5374886,35,125
4075577,33,139
13697131,6,184
13893412,12,152
14981462,12,199
14868776,13,153
1586954,42,167
100118520,104,195
11407849,2,221
10209643,218,218
15307791,11,110
10120593,2,86
16612363,3,153
13625862,20,20
5461181,6,116
16185718,6,13
16066202,6,22
11503476,5,195
13764646,15,19
5235748,14,54
14191185,17,129
2720470,18,141
1560609,87,246
16048953,1,7
15344022,11,11
13824579,19,35
14094814,18,28
14699501,13,46
5467548,34,46
10017889,32,38
16643498,1,69
13006052,3,67
13183992,4,68
5378902,8,70
14118824,18,57
13992290,14,59
14440239,10,69
11454466,26,68
13574558,20,50
4706300,53,74
16200383,4,89
5243902,5,84
16154484,5,88
13786050,19,93
11521167,25,98
4110595,72,79
1995495,79,96
16414122,3,112
2880210,3,104
100255445,1,117
12818548,8,124
16178661,5,105
13371837,5,115
1780907,17,116
13350214,21,123
3080242,43,123
13954746,1,142
16343885,5,148
1447849,26,140
11590181,21,142
14841205,4,158
13678152,6,167
2525747,5,161
13766407,15,168
5309025,12,155
14333243,16,169
1538046,142,188
3143303,59,182
12831275,1,235
16014081,2,247
14277382,8,210
13237425,22,215
4517687,62,244
15411514,10,254
1569480,27,299
100320806,1,402
16684689,3,3
16535084,1,4
16073437,4,22
16680993,2,12
14333643,3,17
15859848,8,8
16405614,5,5
16590728,6,7
13003093,8,23
13838369,19,19
13904001,19,19
13066709,14,23
14053274,16,23
13642199,14,23
15362374,10,14
13641100,20,20
13542519,20,20
16973344,2,36
16095485,6,29
14439099,16,34
10130018,19,31
14662948,15,40
15105312,12,39
13596380,10,47
11422518,19,32
11348690,26,28
10353219,28,46
11366378,27,27
10109630,31,31
13212061,1,66
11553401,10,59
14247048,15,66
11341394,18,72
100084677,14,67
4766739,37,51
4610887,45,67
4697299,46,63
4770855,45,60
4094826,35,72
14700596,4,84
11435048,2,90
14821202,0,93
3941700,9,88
3254969,6,84
4293454,5,81
14814486,7,94
13818498,14,76
13543315,13,75
2007947,14,96
10352326,22,95
11266459,28,78
13697199,20,83
11515918,25,93
3462026,80,87
4770995,30,84
5390326,35,99
100255370,1,108
13302226,4,104
16810783,2,116
16016904,7,115
14067608,18,116
13143187,14,110
14477233,16,102
14756565,12,108
4627086,17,105
4774612,25,104
3059907,84,102
4595587,74,111
1700461,101,108
11530756,15,127
1438286,11,138
5325551,21,137
1955726,72,131
100126262,31,140
4710313,48,144
4364894,8,157
4643285,13,188
15357948,10,163
2728386,12,155
4724384,23,161
11305343,24,168
11292352,1,214
14050307,7,219
16041104,7,202
