MATCHKEY,DELQID,CRELIM
1385102,0,5250
1390425,0,300
1439834,0,5250
1442215,0,5250
1570044,0,4050
1587999,1,7000
1601066,0,5500
1613198,0,5500
1619718,1,5500
1656439,0,6000
1676151,0,4750
1693846,0,1750
1716965,1,3750
1717918,0,2100
1733965,0,2750
1757527,0,2500
1777111,0,2250
1781693,0,3000
1846795,0,6000
1867582,0,1350
1875334,0,5250
1889899,0,3500
1910832,0,0
1917014,1,4200
1926091,0,3750
1934886,0,4000
1937795,0,2000
1938651,0,5750
1952793,1,1700
1981005,0,6000
2006295,1,6000
2030080,0,3750
2033455,0,4200
2033475,0,4250
2042112,1,2800
2059607,0,2250
2062578,0,5250
2080161,0,3000
2083779,1,4250
2095351,1,600
2120491,0,2950
2128705,0,0
2145026,1,2370
2163352,1,300
2231879,0,800
2248719,5,2250
2256310,0,3500
2310627,0,4500
2402741,0,3250
2436192,0,3000
2440063,0,4750
2459706,4,3600
2506207,0,5750
2531041,0,4500
2620267,0,3250
2626593,0,6000
2658615,0,5000
2677937,0,2500
2679769,0,2750
2686983,0,1750
2700064,0,2100
2757442,0,6000
2760568,0,5000
2778949,0,1750
2780434,0,3500
2781341,0,5500
2782827,0,5500
2831016,0,5500
2850849,0,2250
2922970,0,6000
2939592,5,3300
2968636,0,2100
2983180,0,5750
3021899,0,3600
3056046,0,1750
3068808,1,1650
3073284,0,10000
3222843,0,3250
3265515,1,6000
3296800,0,10000
3302707,0,4900
3364911,0,1700
3373060,1,1050
3389282,0,2850
3398138,0,2500
3402736,1,3900
3444120,0,1700
3451614,0,3250
3491209,3,500
3543597,0,5500
3546776,0,5750
3547245,0,10000
3572003,0,4250
3583332,0,5250
3639042,0,2500
3652525,0,5750
3672824,0,1200
3675706,,
3685435,0,900
3694251,1,2750
3716338,0,6000
3718557,0,1700
3765476,0,300
3798920,0,4500
3846109,0,4750
3856100,0,5500
3900525,0,1700
3908767,1,3300
3915417,0,4250
3933762,0,6000
3938576,0,4500
3943529,0,3750
3948418,0,1750
3951807,1,3500
3961965,0,950
3965022,0,4250
3994602,2,4250
4000994,0,5250
4020153,0,570
4023192,0,1250
4024518,0,2250
4075592,0,5750
4075706,0,3000
4176275,0,3250
4190686,0,1750
4191476,1,1350
4202175,0,10000
4203449,0,2250
4219781,1,2300
4253768,0,4000
4265156,0,5500
4271112,0,2750
4292114,0,3250
4314035,0,630
4314892,0,10000
4333176,0,4750
4394054,0,1330
4429303,0,1450
4462522,1,3900
4467971,1,3250
4473664,0,5750
4476027,0,3750
4481650,0,4500
4482385,0,1750
4482462,6,2500
4490560,0,4800
4493865,0,1450
4495520,0,850
4510603,0,2750
4526189,0,300
4531011,0,4500
4531017,0,0
4536897,0,0
4542466,7,3300
4566512,0,3500
4567241,0,2500
4573901,0,500
4577454,0,1000
4585250,0,1000
4587305,0,3250
4593149,0,2000
4600765,0,3250
4602587,1,3250
4623330,0,2000
4630439,0,2250
4633561,0,3250
4634401,0,2150
4646627,7,1500
4649121,0,1500
4655254,0,300
4655493,0,1000
4657118,1,3000
4657483,0,4250
4658198,0,1000
4676930,0,1650
4690118,0,1500
4697334,7,500
4705748,0,600
4707557,0,1750
4709374,0,2200
4711761,0,2500
4728181,0,2500
4733915,0,3250
4755462,0,1500
4756534,0,2000
4776343,0,300
4784593,0,1130
4789994,0,770
4796116,0,700
4800566,7,1130
5079431,0,2500
5089407,0,5250
5132951,0,3500
5165298,1,3250
5169000,0,2750
5174981,0,2000
5175863,0,2750
5178812,0,4250
5188126,0,0
5199423,0,1750
5209644,0,3250
5220052,0,2250
5227450,0,3500
5232843,1,4250
5259022,0,2500
5259854,0,6000
5266620,0,1500
5272985,0,4000
5275416,,
5282809,1,1750
5323892,0,5250
5325127,0,3750
5325177,0,2000
5341892,0,1750
5356210,0,3750
5364296,0,1750
5364771,0,1750
5374231,2,2250
5388521,0,2000
5433935,5,2600
5438119,0,2000
5439846,0,4500
5456998,0,2750
5458341,1,1750
5463667,2,1750
5468598,0,3750
5470418,0,2450
10014707,0,3250
10017025,0,1750
10017696,0,2000
10041657,0,2750
10054290,1,0
10106579,0,2000
10106612,0,2000
10122078,0,600
10122240,0,2000
10122554,0,1750
10123264,0,1750
10123281,0,3250
10130612,0,3250
10131217,1,1750
10137604,0,3250
10142014,0,4750
10142728,0,3250
10142926,0,3250
10148335,0,3250
10148382,1,1250
10148623,0,1750
10169804,0,3000
10171194,0,3250
10172676,0,1750
10173006,0,4750
10176374,0,1650
10196357,0,3000
10196691,0,1750
10197169,0,1568
10198931,0,1450
10207062,2,4750
10209598,0,1750
10210666,7,2000
10219047,0,2500
10219554,1,1750
10220985,0,2500
10228188,0,500
10228231,0,1750
10228527,0,2000
10234015,0,3250
10244520,0,3250
10257809,1,3750
10264220,0,5000
10268302,0,0
10275077,0,500
10275216,0,3000
10278566,0,3000
10298926,0,1750
10307607,0,2250
10314038,0,2000
10321943,0,1650
10322336,0,3250
10322690,0,1750
10330261,3,700
10338392,0,1000
10338480,0,1750
10357440,0,3250
10357539,0,2250
10363218,0,3250
10391057,0,1000
10391363,0,1750
10396028,0,2000
10404620,0,3750
10407257,0,2000
10407426,0,1000
10419017,0,2000
10501572,0,1000
10692253,0,4500
10702636,0,3250
10703417,0,1700
10722296,0,4000
10739261,0,2000
10742990,0,2000
10743860,0,1100
11273324,0,3000
11281496,0,3000
11286339,0,1000
11287334,0,1000
11294862,0,2000
11298852,0,1771
11304175,0,500
11304336,0,2250
11304886,0,3000
11314730,0,2000
11324442,0,4250
11324769,0,2500
11325567,0,1100
11337712,0,2000
11338705,0,2000
11341117,0,2500
11342462,1,1500
11342665,0,3750
11345171,0,1500
11347700,0,2250
11348656,0,2250
11349309,0,1000
11350016,0,3000
11352397,0,3250
11353886,0,4250
11362645,1,1500
11367054,0,4000
11383165,0,2500
11383341,0,1000
11383625,0,1778
11386438,0,2250
11392343,0,4250
11392798,0,2750
11392825,0,2000
11393133,0,1750
11401218,0,3250
11401397,0,3250
11410858,0,300
11411896,0,2000
11415753,0,1750
11423155,0,1000
11423518,0,2750
11423821,0,1750
11429948,0,1250
11433170,0,4500
11433183,0,3750
11433378,0,2000
11433600,0,3250
11434144,0,3750
11443153,0,1071
11443349,0,2250
11452355,0,1750
11452550,0,1000
11469132,1,3500
11479745,0,3750
11486800,0,3500
11488831,0,3250
11492883,0,2000
11498362,0,1500
11499457,0,2000
11503254,0,3250
11504180,0,1500
11506419,1,1750
11508332,0,4750
11512747,0,4000
11518539,0,1750
11518543,0,1750
11523206,0,2000
11523554,0,4500
11529291,0,2000
11530721,0,2500
11531193,0,1000
11539461,1,2000
11551035,0,2000
11555002,0,5000
11562339,0,1000
11562463,0,2000
11570246,0,1500
11570571,0,2750
11580486,0,1750
11589053,0,3250
11591822,0,2500
11596114,0,2750
11611687,1,5000
11612763,2,2750
11615364,0,3250
11621380,0,2500
11624961,0,3500
11633948,0,1000
11638755,0,1750
12818713,0,3000
12825536,0,3250
12826501,0,1000
12829766,0,2750
12840416,0,4500
12846079,0,2750
12846317,0,1000
12852844,1,1300
12854549,0,2250
12861839,0,2000
12864226,0,3250
12875862,0,3250
12876973,0,2000
12894650,0,1750
12917815,0,2000
12918823,0,3250
12919108,0,1750
12926154,0,700
12926831,1,652
12927085,0,1750
12929511,7,1000
12931049,0,1000
12939590,0,1750
12943534,0,2250
12944688,0,1000
12944926,0,3750
12945527,1,1750
12954540,4,550
12954890,0,1750
12963497,0,2000
12965775,0,2250
12967094,0,3250
12972679,0,2750
12973056,0,1500
12973451,0,2000
12973942,0,1000
12975156,0,649
12983675,0,3250
12994419,0,1500
13002403,1,3250
13005406,4,1500
13015720,0,1000
13019409,0,2000
13020576,0,1750
13022476,0,2500
13030999,1,1750
13044774,0,1000
13048543,0,2000
13053972,0,2000
13064602,0,1750
13066740,0,1000
13075908,6,473
13078108,0,1500
13091551,0,1750
13095667,0,982
13104858,0,500
13105721,0,1000
13107197,0,500
13108979,0,2000
13114417,7,3250
13123533,0,2750
13124281,0,1000
13124451,0,1750
13125173,7,369
13125556,6,2050
13137658,0,1500
13138524,0,2000
13138870,0,3250
13143106,0,1750
13145887,0,3250
13151933,0,2500
13152082,0,2000
13152631,1,3750
13159179,0,1200
13170678,0,1050
13171074,0,700
13185183,0,3250
13223730,0,2000
13238501,1,1000
13239782,0,1750
13292533,0,1000
13331667,5,647
13333660,0,2000
13333853,0,4000
13349079,0,2000
13350910,0,2000
13361897,0,1000
13363707,0,2000
13368848,0,3250
13368851,0,1000
13369363,0,1753
13369456,0,1000
13370306,0,2000
13371692,0,500
13372797,0,2500
13414954,0,3000
13415185,0,500
13415610,0,1000
13416340,0,1000
13416900,0,3500
13447537,0,2500
13453523,0,1500
13459788,0,2000
13481834,0,4500
13482999,0,2250
13496328,0,1750
13496511,0,1750
13498561,0,3250
13499567,0,908
13510751,0,1750
13513047,0,3250
13536546,3,500
13564692,0,3250
13573571,0,1750
13574295,0,2000
13574739,0,3750
13597017,0,1084
13604550,0,1750
13605333,0,3250
13614733,4,809
13626854,0,1750
13639404,0,2000
13649595,0,2000
13655574,0,2500
13657302,0,1500
13668935,0,824
13681842,0,3750
13682674,0,1000
13684032,0,2000
13693474,0,500
13694123,0,1750
13695533,0,820
13704023,0,3250
13704921,0,4000
13704969,0,1750
13706709,0,1750
13707187,0,576
13722948,0,2000
13727151,0,3250
13727873,0,1750
13739519,5,1000
13752245,0,500
13752379,0,3250
13752795,0,1500
13762436,0,1750
13762750,0,3000
13763510,0,3250
13766002,0,1750
13767398,4,1750
13785389,0,1500
13786062,0,1000
13804405,0,2250
13805486,6,2500
13806469,0,2000
13824396,0,3250
13824962,0,3250
13825900,0,1000
13843956,0,3250
13853679,0,564
13856233,0,4000
13865572,0,1750
13866338,0,500
13867655,0,2000
13868089,0,495
13880805,0,3750
13882357,0,800
13883584,0,1750
13892542,0,1750
13892983,0,1750
13893861,0,3750
13900147,0,1750
13902131,0,1750
13925871,0,3250
13927374,0,3250
13934933,0,500
13936376,0,1500
13946378,0,1750
13955108,5,544
13960794,0,4750
13991769,0,1050
13992475,0,3750
14008964,0,2000
14021092,0,3250
14021492,6,1600
14022830,0,3250
14049828,2,1400
14050214,0,1000
14078655,0,300
14088738,0,1500
14093514,0,1000
14094610,0,500
14096641,0,2250
14116514,0,1750
14118002,0,300
14120919,0,0
14129277,0,600
14130681,0,900
14131049,0,3250
14136478,0,1750
14137811,0,3750
14146443,0,1000
14148420,6,1000
14148427,0,500
14157268,0,3750
14167749,3,4250
14167893,0,2000
14169873,0,1500
14181995,0,1000
14182184,4,1750
14182737,0,2750
14196378,0,4250
14197092,0,2750
14197674,0,500
14204830,0,2250
14204940,0,3250
14206163,0,2750
14213741,0,2750
14215458,0,2000
14217918,0,1750
14220085,0,1750
14221000,1,3250
14221468,1,2500
14231630,4,1750
14246935,5,1750
14248959,1,1100
14262813,0,1000
14263709,0,500
14264572,0,2000
14272419,0,500
14273015,0,4000
14275486,0,2000
14275675,0,2000
14276269,0,2500
14278293,0,513
14279718,0,1000
14279866,0,1000
14283104,0,3750
14298675,0,1500
14316936,0,3250
14330728,0,1000
14332607,0,2000
14333872,0,1000
14341854,0,3250
14342021,0,1750
14342033,5,1750
14346405,0,500
14346955,1,1500
14347071,0,1000
14348280,0,2500
14354434,0,1750
14361487,0,1500
14382067,0,4250
14394950,0,2000
14395327,0,2000
14395444,0,2000
14406766,0,1750
14407981,0,1000
14412414,0,1000
14414372,0,1750
14424280,5,1500
14438037,0,3250
14438804,0,1750
14439553,0,1750
14439629,0,500
14446379,0,1000
14455965,0,2500
14460010,6,3250
14461724,0,2000
14472462,0,1750
14500316,0,2000
14500428,0,1750
14503476,0,3750
14508186,2,800
14519160,0,1000
14519277,0,1000
14524548,0,1500
14542031,0,3000
14551431,0,1750
14552588,0,500
14562921,0,2000
14596456,0,2500
14604892,0,1000
14605021,0,1500
14606681,0,1000
14614923,0,1750
14627222,2,2250
14641656,0,2750
14642329,0,1750
14642549,0,2000
14657503,0,1000
14686234,1,500
14703490,1,800
14717082,0,500
14717888,0,1000
