MATCHKEY,BRAGE,BRNEW
1385102,126,79
1390425,123,6
1439834,113,6
1442215,271,65
1570044,270,26
1587999,142,135
1601066,214,14
1613198,275,49
1619718,416,91
1656439,113,74
1676151,107,55
1693846,110,35
1716965,362,8
1717918,129,14
1733965,116,69
1757527,102,3
1777111,269,15
1781693,107,19
1846795,,
1867582,106,33
1875334,,
1889899,157,9
1910832,,
1917014,,
1926091,97,18
1934886,104,5
1937795,,
1938651,112,30
1952793,96,54
1981005,96,2
2006295,96,1
2030080,,
2033455,96,19
2033475,96,18
2042112,118,32
2059607,116,39
2062578,188,31
2080161,134,83
2083779,95,11
2095351,103,60
2120491,95,3
2128705,,
2145026,98,6
2163352,270,31
2231879,122,27
2248719,93,75
2256310,93,27
2310627,115,23
2402741,92,26
2436192,91,47
2440063,196,46
2459706,201,75
2506207,120,12
2531041,90,21
2620267,94,67
2626593,,
2658615,99,70
2677937,,
2679769,336,36
2686983,88,5
2700064,132,75
2757442,108,52
2760568,88,19
2778949,128,33
2780434,9997,9997
2781341,146,20
2782827,122,42
2831016,,
2850849,110,31
2922970,91,9
2939592,133,7
2968636,98,7
2983180,165,20
3021899,132,8
3056046,96,44
3068808,93,2
3073284,275,45
3222843,110,9
3265515,357,6
3296800,,
3302707,87,28
3364911,95,13
3373060,133,79
3389282,80,8
3398138,,
3402736,91,10
3444120,212,31
3451614,90,60
3491209,87,77
3543597,138,29
3546776,93,15
3547245,92,79
3572003,137,31
3583332,88,49
3639042,92,64
3652525,127,14
3672824,84,48
3675706,88,3
3685435,85,72
3694251,95,24
3716338,115,46
3718557,78,38
3765476,85,33
3798920,85,61
3846109,114,22
3856100,238,77
3900525,130,2
3908767,90,36
3915417,137,23
3933762,163,35
3938576,,
3943529,139,13
3948418,97,4
3951807,75,75
3961965,91,62
3965022,74,27
3994602,90,20
4000994,88,14
4020153,,
4023192,79,23
4024518,209,56
4075592,105,8
4075706,84,29
4176275,71,33
4190686,155,13
4191476,253,84
4202175,84,5
4203449,75,12
4219781,108,34
4253768,74,32
4265156,104,7
4271112,69,17
4292114,75,69
4314035,93,2
4314892,69,21
4333176,76,4
4394054,150,28
4429303,,
4462522,106,50
4467971,94,20
4473664,82,13
4476027,211,1
4481650,154,63
4482385,97,33
4482462,76,6
4490560,91,22
4493865,70,37
4495520,121,7
4510603,111,62
4526189,95,29
4531011,72,25
4531017,,
4536897,,
4542466,,
4566512,74,3
4567241,343,59
4573901,,
4577454,115,1
4585250,135,46
4587305,,
4593149,122,3
4600765,139,4
4602587,65,4
4623330,94,8
4630439,164,16
4633561,112,56
4634401,99,6
4646627,181,4
4649121,71,17
4655254,,
4655493,138,49
4657118,68,13
4657483,276,17
4658198,57,17
4676930,86,0
4690118,198,33
4697334,506,3
4705748,66,53
4707557,265,53
4709374,,
4711761,110,53
4728181,266,31
4733915,,
4755462,99,7
4756534,84,26
4776343,,
4784593,83,24
4789994,50,22
4796116,95,9
4800566,50,35
5079431,46,1
5089407,138,13
5132951,125,40
5165298,158,5
5169000,134,39
5174981,66,22
5175863,,
5178812,39,13
5188126,,
5199423,143,19
5209644,196,36
5220052,69,16
5227450,394,4
5232843,90,28
5259022,103,4
5259854,71,15
5266620,211,9
5272985,103,1
5275416,75,31
5282809,114,15
5323892,129,3
5325127,36,27
5325177,87,28
5341892,,
5356210,208,9
5364296,120,35
5364771,75,33
5374231,79,21
5388521,52,11
5433935,111,14
5438119,67,18
5439846,35,4
5456998,104,7
5458341,130,3
5463667,116,17
5468598,141,3
5470418,34,26
10014707,62,9
10017025,,
10017696,32,32
10041657,129,32
10054290,253,11
10106579,55,23
10106612,118,1
10122078,40,31
10122240,167,4
10122554,116,7
10123264,84,25
10123281,92,2
10130612,118,19
10131217,76,21
10137604,,
10142014,103,11
10142728,38,5
10142926,30,7
10148335,110,9
10148382,134,30
10148623,91,19
10169804,266,19
10171194,282,1
10172676,110,3
10173006,49,8
10176374,110,18
10196357,74,20
10196691,69,30
10197169,30,29
10198931,30,1
10207062,30,30
10209598,257,1
10210666,198,18
10219047,59,4
10219554,30,6
10220985,139,24
10228188,107,17
10228231,212,3
10228527,184,10
10234015,64,16
10244520,123,29
10257809,37,18
10264220,29,17
10268302,,
10275077,113,14
10275216,63,12
10278566,237,29
10298926,166,29
10307607,204,21
10314038,44,29
10321943,,
10322336,230,2
10322690,63,26
10330261,29,29
10338392,179,29
10338480,106,29
10357440,144,20
10357539,,
10363218,37,3
10391057,144,27
10391363,156,23
10396028,57,1
10404620,463,3
10407257,184,9
10407426,,
10419017,31,7
10501572,90,27
10692253,,
10702636,129,4
10703417,9997,9997
10722296,111,21
10739261,275,2
10742990,93,6
10743860,122,28
11273324,343,1
11281496,,
11286339,75,16
11287334,137,12
11294862,155,5
11298852,497,12
11304175,148,7
11304336,200,13
11304886,207,27
11314730,46,21
11324442,27,21
11324769,31,12
11325567,27,25
11337712,117,7
11338705,,
11341117,45,12
11342462,178,14
11342665,51,12
11345171,129,11
11347700,77,4
11348656,113,25
11349309,160,9
11350016,92,13
11352397,49,18
11353886,35,27
11362645,51,14
11367054,115,7
11383165,126,20
11383341,64,7
11383625,91,4
11386438,135,8
11392343,,
11392798,117,5
11392825,35,26
11393133,150,26
11401218,196,26
11401397,155,26
11410858,26,2
11411896,26,26
11415753,75,2
11423155,131,3
11423518,30,30
11423821,123,6
11429948,103,7
11433170,112,0
11433183,109,1
11433378,,
11433600,,
11434144,148,25
11443153,,
11443349,,
11452355,26,7
11452550,,
11469132,69,9
11479745,144,144
11486800,100,12
11488831,43,22
11492883,232,18
11498362,143,6
11499457,39,5
11503254,171,8
11504180,53,4
11506419,25,2
11508332,116,25
11512747,135,2
11518539,188,13
11518543,176,25
11523206,,
11523554,36,25
11529291,70,25
11530721,63,25
11531193,25,25
11539461,25,25
11551035,36,5
11555002,25,8
11562339,66,8
11562463,129,3
11570246,45,4
11570571,95,7
11580486,,
11589053,82,12
11591822,33,2
11596114,25,20
11611687,113,21
11612763,55,3
11615364,89,9
11621380,83,4
11624961,106,24
11633948,79,3
11638755,80,18
12818713,65,4
12825536,33,12
12826501,24,2
12829766,85,9
12840416,159,9
12846079,49,8
12846317,152,16
12852844,85,12
12854549,83,24
12861839,212,22
12864226,259,15
12875862,31,24
12876973,73,18
12894650,61,23
12917815,146,1
12918823,104,1
12919108,35,12
12926154,238,4
12926831,80,14
12927085,270,12
12929511,51,5
12931049,107,4
12939590,208,24
12943534,146,20
12944688,246,21
12944926,96,13
12945527,94,12
12954540,41,13
12954890,34,9
12963497,91,3
12965775,23,23
12967094,102,17
12972679,69,18
12973056,,
12973451,101,23
12973942,42,7
12975156,,
12983675,23,23
12994419,317,23
13002403,78,23
13005406,116,3
13015720,154,6
13019409,64,10
13020576,23,11
13022476,30,5
13030999,128,3
13044774,116,23
13048543,63,22
13053972,93,19
13064602,232,6
13066740,147,1
13075908,155,6
13078108,146,11
13091551,150,22
13095667,92,22
13104858,131,18
13105721,93,8
13107197,85,12
13108979,40,7
13114417,23,10
13123533,82,15
13124281,76,22
13124451,,
13125173,76,22
13125556,24,22
13137658,172,3
13138524,111,7
13138870,162,9
13143106,142,6
13145887,35,11
13151933,60,6
13152082,29,7
13152631,154,5
13159179,102,22
13170678,80,20
13171074,,
13185183,76,9
13223730,108,21
13238501,261,22
13239782,275,1
13292533,42,21
13331667,21,21
13333660,87,15
13333853,159,15
13349079,21,4
13350910,48,21
13361897,109,15
13363707,29,5
13368848,21,20
13368851,,
13369363,36,20
13369456,247,11
13370306,21,20
13371692,87,21
13372797,31,3
13414954,99,15
13415185,66,21
13415610,28,7
13416340,89,3
13416900,80,21
13447537,139,21
13453523,61,9
13459788,40,3
13481834,202,21
13482999,50,8
13496328,,
13496511,227,3
13498561,79,1
13499567,147,4
13510751,29,20
13513047,,
13536546,89,20
13564692,37,20
13573571,99,7
13574295,90,20
13574739,176,20
13597017,59,9
13604550,173,20
13605333,80,20
13614733,24,1
13626854,83,16
13639404,55,20
13649595,148,11
13655574,144,20
13657302,154,3
13668935,21,10
13681842,20,9
13682674,20,20
13684032,152,2
13693474,27,20
13694123,27,2
13695533,,
13704023,133,2
13704921,69,7
13704969,29,20
13706709,29,8
13707187,33,9
13722948,19,6
13727151,78,13
13727873,28,5
13739519,57,2
13752245,152,18
13752379,43,2
13752795,45,2
13762436,42,8
13762750,164,13
13763510,29,19
13766002,19,17
13767398,29,2
13785389,70,9
13786062,,
13804405,89,19
13805486,162,5
13806469,455,19
13824396,251,19
13824962,184,7
13825900,,
13843956,201,19
13853679,28,14
13856233,72,18
13865572,253,15
13866338,72,3
13867655,,
13868089,44,7
13880805,29,10
13882357,,
13883584,123,7
13892542,166,4
13892983,62,12
13893861,261,19
13900147,244,13
13902131,126,3
13925871,18,18
13927374,295,5
13934933,92,18
13936376,,
13946378,122,18
13955108,99,18
13960794,169,18
13991769,18,15
13992475,80,18
14008964,18,18
14021092,222,9
14021492,32,10
14022830,27,15
14049828,20,17
14050214,64,18
14078655,18,18
14088738,48,18
14093514,,
14094610,355,2
14096641,84,11
14116514,70,12
14118002,,
14120919,,
14129277,164,13
14130681,20,18
14131049,30,12
14136478,,
14137811,157,18
14146443,,
14148420,35,3
14148427,,
14157268,103,14
14167749,129,4
14167893,86,4
14169873,104,17
14181995,21,9
14182184,183,1
14182737,129,17
14196378,27,8
14197092,19,16
14197674,79,14
14204830,,
14204940,30,11
14206163,36,7
14213741,17,17
14215458,56,6
14217918,186,17
14220085,25,17
14221000,96,17
14221468,44,8
14231630,170,12
14246935,84,7
14248959,90,17
14262813,,
14263709,131,17
14264572,155,17
14272419,,
14273015,17,10
14275486,133,16
14275675,,
14276269,65,17
14278293,97,12
14279718,,
14279866,90,12
14283104,17,17
14298675,163,6
14316936,17,17
14330728,88,5
14332607,90,5
14333872,22,17
14341854,,
14342021,,
14342033,17,13
14346405,84,11
14346955,134,17
14347071,,
14348280,219,12
14354434,17,6
14361487,116,8
14382067,397,8
14394950,130,5
14395327,41,10
14395444,21,13
14406766,146,2
14407981,105,6
14412414,239,4
14414372,33,12
14424280,22,11
14438037,26,2
14438804,97,7
14439553,177,10
14439629,30,7
14446379,47,16
14455965,79,0
14460010,130,10
14461724,92,1
14472462,33,7
14500316,15,8
14500428,80,9
14503476,20,15
14508186,22,14
14519160,,
14519277,32,15
14524548,15,2
14542031,91,11
14551431,15,6
14552588,,
14562921,238,2
14596456,78,8
14604892,164,15
14605021,23,15
14606681,89,15
14614923,167,7
14627222,15,8
14641656,32,6
14642329,57,15
14642549,87,15
14657503,108,12
14686234,291,10
14703490,,
14717082,143,14
