,MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
0,16345246,1492,4,39,AG_30_50,1,750,0,5,20
1,13728016,0,3,71,AG_70_UP,0,3250,0,19,19
2,14716776,854,9,30,AG_0_30,4,500,1,0,46
3,14568809,408,13,28,AG_0_30,1,3000,0,2,33
4,13513749,4965,41,51,AG_50_70,0,500,0,3,68
5,4379593,1847,15,43,AG_30_50,0,4750,0,7,74
6,10275319,4518,16,25,AG_0_30,1,300,0,29,77
7,10197359,1879,16,64,AG_50_70,2,400,0,30,76
8,11267572,2597,17,47,AG_30_50,0,1750,0,28,118
9,3579391,0,12,41,AG_30_50,0,5500,0,74,103
10,4508533,0,10,88,AG_70_UP,0,2000,0,62,112
11,2506427,5380,15,44,AG_30_50,4,1750,1,32,108
12,3164164,10673,16,58,AG_50_70,0,1050,0,82,102
13,15216012,1597,14,66,AG_50_70,0,3250,0,2,145
14,13036260,0,12,55,AG_50_70,0,2000,0,23,148
15,13125635,0,15,31,AG_30_50,7,2000,1,22,141
16,10174386,3416,39,72,AG_70_UP,0,3750,0,29,126
17,10396757,2594,32,39,AG_30_50,0,447,0,18,164
18,5298129,506,13,45,AG_30_50,0,1750,0,28,193
19,10080303,153,19,81,AG_70_UP,0,2000,0,28,181
20,11551471,3115,27,88,AG_70_UP,0,2250,0,25,177
21,10074073,12144,13,75,AG_70_UP,0,3250,0,28,162
22,2267305,0,18,56,AG_50_70,0,850,0,24,222
23,16423316,1257,32,79,AG_70_UP,7,1750,1,4,253
24,16590276,2954,3,22,AG_0_30,7,1500,1,3,3
25,16144771,1964,24,63,AG_50_70,0,2250,0,6,6
26,14605586,1,5,23,AG_0_30,0,2000,0,15,15
27,14614613,71,7,37,AG_30_50,0,1750,0,15,17
28,14855253,500,10,28,AG_0_30,0,2750,0,13,13
29,13843968,282,12,57,AG_50_70,1,500,0,13,19
30,14245730,0,57,75,AG_70_UP,0,1000,0,16,17
31,14686124,1634,6,30,AG_0_30,7,1000,1,12,23
32,13563474,0,10,47,AG_30_50,0,1000,0,20,20
33,11601472,4505,4,21,AG_0_30,4,2000,1,24,24
34,17160359,410,10,50,AG_30_50,2,1250,0,0,27
35,15837017,14331,14,20,AG_0_30,0,2250,0,1,46
36,14402425,482,8,30,AG_0_30,0,1500,0,16,32
37,13045710,1543,25,22,AG_0_30,7,500,1,11,46
38,14842344,5693,11,35,AG_30_50,4,1750,1,13,37
39,13553431,5068,19,77,AG_70_UP,0,2000,0,16,31
40,11581041,862,7,24,AG_0_30,7,2800,1,25,25
41,12846482,4763,14,45,AG_30_50,6,1750,1,22,42
42,13678011,0,1,82,AG_70_UP,0,3250,0,40,40
43,5149450,9317,7,29,AG_0_30,0,3750,0,35,45
44,16653298,2487,5,27,AG_0_30,7,1000,1,3,70
45,13199388,14686,36,55,AG_50_70,7,2250,1,8,73
46,13055746,2510,20,60,AG_50_70,0,453,0,11,67
47,14052341,4316,7,20,AG_0_30,1,2750,0,11,51
48,12895830,4268,13,48,AG_30_50,3,917,1,13,51
49,12908226,4106,22,46,AG_30_50,1,1563,0,19,64
50,14733903,7704,9,55,AG_50_70,0,1750,0,14,53
51,15307377,15775,8,70,AG_50_70,1,3250,0,11,67
52,5371670,781,20,53,AG_50_70,0,1000,0,24,64
53,100223349,977,22,53,AG_50_70,7,500,1,1,96
54,100174012,1381,31,56,AG_50_70,1,2250,0,1,91
55,3648546,9249,16,39,AG_30_50,1,2750,0,2,78
56,13846680,907,17,44,AG_30_50,7,461,1,9,84
57,13240488,3237,16,59,AG_50_70,0,400,0,13,80
58,14755998,3823,15,61,AG_50_70,0,2750,0,13,83
59,14176948,3836,27,45,AG_30_50,3,500,1,13,82
60,14167535,4505,1,32,AG_30_50,1,500,0,11,91
61,14408578,4104,17,78,AG_70_UP,0,1000,0,11,97
62,2623999,1654,17,46,AG_30_50,7,500,1,24,92
63,3726570,400,5,35,AG_30_50,0,900,0,43,84
64,3024048,1,13,31,AG_30_50,0,4750,0,84,92
65,4281963,2203,13,49,AG_30_50,3,2275,1,46,89
66,3067476,4505,11,26,AG_0_30,0,2200,0,45,96
67,2363549,7445,16,58,AG_50_70,0,2750,0,91,92
68,3971845,20246,29,50,AG_30_50,1,2750,0,67,98
69,14671140,0,25,36,AG_30_50,7,1200,1,8,124
70,15007706,898,7,33,AG_30_50,1,1000,0,12,123
71,13114325,1109,20,39,AG_30_50,4,562,1,21,107
72,4229525,0,21,51,AG_50_70,1,1400,0,63,108
73,5374886,1285,9,39,AG_30_50,0,3250,0,35,125
74,4075577,4505,6,32,AG_30_50,1,1750,0,33,139
75,13697131,3075,17,38,AG_30_50,2,500,0,6,184
76,13893412,623,34,44,AG_30_50,7,1000,1,12,152
77,14981462,1884,11,68,AG_50_70,0,1000,0,12,199
78,14868776,4913,11,65,AG_50_70,0,1750,0,13,153
79,1586954,3510,15,68,AG_50_70,7,4600,1,42,167
80,100118520,4505,10,76,AG_70_UP,0,1750,0,104,195
