MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
16345246,1492,4,39,AG_30_50,1,750,0,5,20
13728016,0,3,71,AG_70_UP,0,3250,0,19,19
14716776,854,9,30,AG_0_30,4,500,1,0,46
14568809,408,13,28,AG_0_30,1,3000,0,2,33
13513749,4965,41,51,AG_50_70,0,500,0,3,68
4379593,1847,15,43,AG_30_50,0,4750,0,7,74
10275319,4518,16,25,AG_0_30,1,300,0,29,77
10197359,1879,16,64,AG_50_70,2,400,0,30,76
11267572,2597,17,47,AG_30_50,0,1750,0,28,118
3579391,0,12,41,AG_30_50,0,5500,0,74,103
4508533,0,10,88,AG_70_UP,0,2000,0,62,112
2506427,5380,15,44,AG_30_50,4,1750,1,32,108
3164164,10673,16,58,AG_50_70,0,1050,0,82,102
15216012,1597,14,66,AG_50_70,0,3250,0,2,145
13036260,0,12,55,AG_50_70,0,2000,0,23,148
13125635,0,15,31,AG_30_50,7,2000,1,22,141
10174386,3416,39,72,AG_70_UP,0,3750,0,29,126
10396757,2594,32,39,AG_30_50,0,447,0,18,164
5298129,506,13,45,AG_30_50,0,1750,0,28,193
10080303,153,19,81,AG_70_UP,0,2000,0,28,181
11551471,3115,27,88,AG_70_UP,0,2250,0,25,177
10074073,12144,13,75,AG_70_UP,0,3250,0,28,162
2267305,0,18,56,AG_50_70,0,850,0,24,222
16423316,1257,32,79,AG_70_UP,7,1750,1,4,253
16590276,2954,3,22,AG_0_30,7,1500,1,3,3
16144771,1964,24,63,AG_50_70,0,2250,0,6,6
14605586,1,5,23,AG_0_30,0,2000,0,15,15
14614613,71,7,37,AG_30_50,0,1750,0,15,17
14855253,500,10,28,AG_0_30,0,2750,0,13,13
13843968,282,12,57,AG_50_70,1,500,0,13,19
14245730,0,57,75,AG_70_UP,0,1000,0,16,17
14686124,1634,6,30,AG_0_30,7,1000,1,12,23
13563474,0,10,47,AG_30_50,0,1000,0,20,20
11601472,4505,4,21,AG_0_30,4,2000,1,24,24
17160359,410,10,50,AG_30_50,2,1250,0,0,27
15837017,14331,14,20,AG_0_30,0,2250,0,1,46
14402425,482,8,30,AG_0_30,0,1500,0,16,32
13045710,1543,25,22,AG_0_30,7,500,1,11,46
14842344,5693,11,35,AG_30_50,4,1750,1,13,37
13553431,5068,19,77,AG_70_UP,0,2000,0,16,31
11581041,862,7,24,AG_0_30,7,2800,1,25,25
12846482,4763,14,45,AG_30_50,6,1750,1,22,42
13678011,0,1,82,AG_70_UP,0,3250,0,40,40
5149450,9317,7,29,AG_0_30,0,3750,0,35,45
16653298,2487,5,27,AG_0_30,7,1000,1,3,70
13199388,14686,36,55,AG_50_70,7,2250,1,8,73
13055746,2510,20,60,AG_50_70,0,453,0,11,67
14052341,4316,7,20,AG_0_30,1,2750,0,11,51
12895830,4268,13,48,AG_30_50,3,917,1,13,51
12908226,4106,22,46,AG_30_50,1,1563,0,19,64
14733903,7704,9,55,AG_50_70,0,1750,0,14,53
15307377,15775,8,70,AG_50_70,1,3250,0,11,67
5371670,781,20,53,AG_50_70,0,1000,0,24,64
100223349,977,22,53,AG_50_70,7,500,1,1,96
100174012,1381,31,56,AG_50_70,1,2250,0,1,91
3648546,9249,16,39,AG_30_50,1,2750,0,2,78
13846680,907,17,44,AG_30_50,7,461,1,9,84
13240488,3237,16,59,AG_50_70,0,400,0,13,80
14755998,3823,15,61,AG_50_70,0,2750,0,13,83
14176948,3836,27,45,AG_30_50,3,500,1,13,82
14167535,4505,1,32,AG_30_50,1,500,0,11,91
14408578,4104,17,78,AG_70_UP,0,1000,0,11,97
2623999,1654,17,46,AG_30_50,7,500,1,24,92
3726570,400,5,35,AG_30_50,0,900,0,43,84
3024048,1,13,31,AG_30_50,0,4750,0,84,92
4281963,2203,13,49,AG_30_50,3,2275,1,46,89
3067476,4505,11,26,AG_0_30,0,2200,0,45,96
2363549,7445,16,58,AG_50_70,0,2750,0,91,92
3971845,20246,29,50,AG_30_50,1,2750,0,67,98
14671140,0,25,36,AG_30_50,7,1200,1,8,124
15007706,898,7,33,AG_30_50,1,1000,0,12,123
13114325,1109,20,39,AG_30_50,4,562,1,21,107
4229525,0,21,51,AG_50_70,1,1400,0,63,108
5374886,1285,9,39,AG_30_50,0,3250,0,35,125
4075577,4505,6,32,AG_30_50,1,1750,0,33,139
13697131,3075,17,38,AG_30_50,2,500,0,6,184
13893412,623,34,44,AG_30_50,7,1000,1,12,152
14981462,1884,11,68,AG_50_70,0,1000,0,12,199
14868776,4913,11,65,AG_50_70,0,1750,0,13,153
1586954,3510,15,68,AG_50_70,7,4600,1,42,167
100118520,4505,10,76,AG_70_UP,0,1750,0,104,195
11407849,9094,15,85,AG_70_UP,2,1750,0,2,221
10209643,3082,1,47,AG_30_50,6,2750,1,218,218
15307791,6262,34,46,AG_30_50,1,1750,0,11,110
10120593,5048,24,77,AG_70_UP,7,300,1,2,86
16612363,1703,36,44,AG_30_50,1,2250,0,3,153
13625862,1243,10,43,AG_30_50,0,1500,0,20,20
5461181,15269,22,63,AG_50_70,0,3750,0,6,116
16185718,1589,9,29,AG_0_30,7,1000,1,6,13
16066202,1598,12,29,AG_0_30,6,500,1,6,22
11503476,6964,30,54,AG_50_70,1,500,0,5,195
13764646,4077,3,43,AG_30_50,0,3250,0,15,19
5235748,19423,27,35,AG_30_50,4,3250,1,14,54
14191185,5999,25,55,AG_50_70,0,2250,0,17,129
2720470,40298,23,55,AG_50_70,0,4250,0,18,141
1560609,34866,25,66,AG_50_70,1,3000,0,87,246
16048953,2665,7,19,AG_0_30,1,1000,0,1,7
15344022,0,5,46,AG_30_50,0,1000,0,11,11
13824579,125,5,30,AG_0_30,0,3250,0,19,35
14094814,0,5,46,AG_30_50,0,3250,0,18,28
14699501,1184,15,31,AG_30_50,1,1000,0,13,46
5467548,1752,13,23,AG_0_30,0,2000,0,34,46
10017889,12856,11,42,AG_30_50,0,1750,0,32,38
16643498,1641,8,37,AG_30_50,1,1500,0,1,69
13006052,4565,11,67,AG_50_70,0,1175,0,3,67
13183992,14361,21,65,AG_50_70,0,3750,0,4,68
5378902,2388,25,23,AG_0_30,0,1750,0,8,70
14118824,722,16,23,AG_0_30,0,1750,0,18,57
13992290,5741,25,44,AG_30_50,7,1000,1,14,59
14440239,12341,49,41,AG_30_50,0,2250,0,10,69
11454466,225,6,43,AG_30_50,0,3250,0,26,68
13574558,0,6,56,AG_50_70,0,1750,0,20,50
4706300,0,17,26,AG_0_30,0,3000,0,53,74
16200383,8270,36,56,AG_50_70,4,1750,1,4,89
5243902,1749,14,58,AG_50_70,0,4750,0,5,84
16154484,5877,27,63,AG_50_70,5,0,1,5,88
13786050,1204,36,38,AG_30_50,5,774,1,19,93
11521167,6053,13,40,AG_30_50,0,2000,0,25,98
4110595,467,5,50,AG_30_50,0,10000,0,72,79
1995495,0,10,39,AG_30_50,0,4000,0,79,96
16414122,30,30,73,AG_70_UP,0,1750,0,3,112
2880210,2022,9,38,AG_30_50,3,2000,1,3,104
100255445,4737,22,64,AG_50_70,0,1250,0,1,117
12818548,271,30,41,AG_30_50,0,1500,0,8,124
16178661,3508,20,31,AG_30_50,2,300,0,5,105
13371837,4246,30,55,AG_50_70,1,2250,0,5,115
1780907,31113,34,29,AG_0_30,1,5750,0,17,116
13350214,2416,18,46,AG_30_50,0,2000,0,21,123
3080242,5394,11,50,AG_30_50,0,6000,0,43,123
13954746,8957,39,45,AG_30_50,1,2250,0,1,142
16343885,2244,9,53,AG_50_70,2,500,0,5,148
1447849,321,22,39,AG_30_50,4,1500,1,26,140
11590181,18523,35,53,AG_50_70,0,2000,0,21,142
14841205,7405,40,25,AG_0_30,0,1750,0,4,158
13678152,6454,24,41,AG_30_50,3,2000,1,6,167
2525747,6141,28,31,AG_30_50,1,2500,0,5,161
13766407,5646,24,60,AG_50_70,0,300,0,15,168
5309025,8096,30,57,AG_50_70,1,3250,0,12,155
14333243,16036,37,72,AG_70_UP,7,300,1,16,169
1538046,2750,17,44,AG_30_50,0,2400,0,142,188
3143303,10404,17,70,AG_50_70,7,1200,1,59,182
12831275,3110,25,57,AG_50_70,0,2000,0,1,235
16014081,7604,37,55,AG_50_70,0,1000,0,2,247
14277382,1753,28,71,AG_70_UP,0,3500,0,8,210
13237425,36,10,60,AG_50_70,0,3250,0,22,215
4517687,1458,10,50,AG_30_50,7,1100,1,62,244
15411514,2112,24,73,AG_70_UP,0,5000,0,10,254
1569480,8368,28,53,AG_50_70,0,3500,0,27,299
100320806,4984,44,69,AG_50_70,1,1000,0,1,402
16684689,0,4,61,AG_50_70,0,1000,0,3,3
16535084,984,12,42,AG_30_50,7,1000,1,1,4
16073437,1730,7,22,AG_0_30,0,1750,0,4,22
16680993,1491,5,23,AG_0_30,1,1000,0,2,12
14333643,1360,23,34,AG_30_50,2,850,0,3,17
15859848,1037,2,24,AG_0_30,0,1500,0,8,8
16405614,1082,5,30,AG_0_30,7,1000,1,5,5
16590728,1211,9,50,AG_30_50,0,1500,0,6,7
13003093,2412,4,26,AG_0_30,1,2750,0,8,23
13838369,0,22,52,AG_50_70,0,2000,0,19,19
13904001,2646,3,41,AG_30_50,0,4250,0,19,19
13066709,2804,12,41,AG_30_50,0,2000,0,14,23
14053274,2658,20,21,AG_0_30,0,300,0,16,23
13642199,3767,11,42,AG_30_50,7,496,1,14,23
15362374,3018,17,24,AG_0_30,7,1000,1,10,14
13641100,514,9,22,AG_0_30,0,573,0,20,20
13542519,1999,2,34,AG_30_50,1,2000,0,20,20
